"","date","county","state","cases","deaths","Tweet_count"
"1","2020-02-01","maricopa","arizona",1,0,0
"2","2020-02-01","cal fire san diego unit","california",0,0,1
"3","2020-02-01","los angeles","california",1,0,1
"4","2020-02-01","orange","california",1,0,2
"5","2020-02-01","riverside","california",0,0,9
"6","2020-02-01","san francisco","california",0,0,8
"7","2020-02-01","santa clara","california",1,0,1
"8","2020-02-01","el paso","colorado",0,0,1
"9","2020-02-01","broward","florida",0,0,1
"10","2020-02-01","hillsborough","florida",0,0,1
"11","2020-02-01","lee","florida",0,0,1
"12","2020-02-01","miamidade","florida",0,0,1
"13","2020-02-01","orange","florida",0,0,1
"14","2020-02-01","dekalb","georgia",0,0,1
"15","2020-02-01","bonneville","idaho",0,0,1
"16","2020-02-01","cook","illinois",2,0,0
"17","2020-02-01","dupage","illinois",0,0,1
"18","2020-02-01","putnam","indiana",0,0,1
"19","2020-02-01","east baton rouge parish","louisiana",0,0,1
"20","2020-02-01","prince georges","maryland",0,0,1
"21","2020-02-01","suffolk","massachusetts",1,0,0
"22","2020-02-01","boone","missouri",0,0,1
"23","2020-02-01","jackson","missouri",0,0,1
"24","2020-02-01","new york","new york",0,0,6
"25","2020-02-01","new york city","new york",0,0,2
"26","2020-02-01","franklin","ohio",0,0,1
"27","2020-02-01","cleveland","oklahoma",0,0,1
"28","2020-02-01","lehigh","pennsylvania",0,0,2
"29","2020-02-01","harris","texas",0,0,1
"30","2020-02-01","stafford","virginia",0,0,1
"31","2020-02-01","snohomish","washington",1,0,0
"32","2020-02-01","sauk","wisconsin",0,0,1
"33","2020-02-01","teton","wyoming",0,0,1
"34","2020-02-02","maricopa","arizona",1,0,1
"35","2020-02-02","cal fire kern","california",0,0,1
"36","2020-02-02","los angeles","california",1,0,1
"37","2020-02-02","orange","california",1,0,2
"38","2020-02-02","riverside","california",0,0,5
"39","2020-02-02","san bernardino","california",0,0,1
"40","2020-02-02","san francisco","california",2,0,5
"41","2020-02-02","santa clara","california",2,0,0
"42","2020-02-02","osceola","florida",0,0,1
"43","2020-02-02","cook","illinois",2,0,0
"44","2020-02-02","dupage","illinois",0,0,1
"45","2020-02-02","will","illinois",0,0,1
"46","2020-02-02","suffolk","massachusetts",1,0,0
"47","2020-02-02","wayne","michigan",0,0,2
"48","2020-02-02","morris","new jersey",0,0,1
"49","2020-02-02","ocean","new jersey",0,0,1
"50","2020-02-02","new york","new york",0,0,4
"51","2020-02-02","new york city","new york",0,0,1
"52","2020-02-02","multnomah","oregon",0,0,1
"53","2020-02-02","washington","oregon",0,0,1
"54","2020-02-02","lackawanna","pennsylvania",0,0,1
