"","Year","Month","Day","Text","Count"
"1",2020,2,29,"eileenornot",2236
"2",2020,2,29,"rené",1630
"3",2020,2,29,"manuragaini",1595
"4",2020,2,29,"lopezobrador",1446
"5",2020,2,29,"cirogomezl",884
"6",2020,4,22,"alfredodelmazo",8677
"7",2020,4,22,"malbran",6050
"8",2020,4,22,"bill gates",4102
"9",2020,4,22,"pablo casado",3948
"10",2020,4,22,"casado",3523
"11",2020,6,9,"josé julián buelvas",9002
"12",2020,6,9,"covid",6679
"13",2020,6,9,"fernando simón",4602
"14",2020,6,9,"uliisesgonzalez",3842
"15",2020,6,9,"lopezobrador",3400
"16",2020,8,28,"covid",9647
"17",2020,8,28,"maribelskies",6091
"18",2020,8,28,"soyalbertosamid",5381
"19",2020,8,28,"goldfarb",5366
"20",2020,8,28,"baby etchecopar",4329
"21",2020,9,13,"covid",13873
"22",2020,9,13,"nicolasmaduro",11804
"23",2020,9,13,"agusdiazdsa",7462
"24",2020,9,13,"macri",5278
"25",2020,9,13,"alberto",5244
"26",2020,9,18,"ayuso",9494
"27",2020,9,18,"covid",8666
"28",2020,9,18,"nicolasmaduro",7671
"29",2020,9,18,"fgmiiriiam",7093
"30",2020,9,18,"ivanjode",4907
"31",2020,9,27,"covid",13510
"32",2020,9,27,"covid19",7915
"33",2020,9,27,"nicolasmaduro",7243
"34",2020,9,27,"alicia_gadi",5638
"35",2020,9,27,"santi",4376
"36",2020,10,21,"candemoran123",9690
"37",2020,10,21,"covid",8490
"38",2020,10,21,"ibaillanos",2905
"39",2020,10,21,"trump",2890
"40",2020,10,21,"abascal",2590
"41",2021,1,22,"covid",54879
"42",2021,1,22,"julia",9704
"43",2021,1,22,"sofisoloneski",9409
"44",2021,1,22,"biden",7867
"45",2021,1,22,"amlo",6768
"46",2021,1,23,"covid",29794
"47",2021,1,23,"biden",18023
"48",2021,1,23,"lopezobrador",11604
"49",2021,1,23,"larry king",8732
"50",2021,1,23,"mippcivzla",6273
"51",2021,1,24,"nicolasmaduro",27411
"52",2021,1,24,"covid",18796
"53",2021,1,24,"mippcivzla",6868
"54",2021,1,24,"juan guaidó",5333
"55",2021,1,24,"carorammirez",5062
"56",2021,1,26,"covid",31577
"57",2021,1,26,"carlos holmes trujillo",23050
"58",2021,1,26,"nicolasmaduro",16531
"59",2021,1,26,"amlo",16496
"60",2021,1,26,"lopezobrador",12756
"61",2021,1,27,"nicolasmaduro",20522
"62",2021,1,27,"covid",17312
"63",2021,1,27,"lopezobrador",6560
"64",2021,1,27,"mippcivzla",6501
"65",2021,1,27,"duque",5552
"66",2021,1,29,"covid",12662
"67",2021,1,29,"nicolasmaduro",9003
"68",2021,1,29,"lopezobrador",7344
"69",2021,1,29,"amlo",6265
"70",2021,1,29,"jlmart81",5716
"71",2021,2,4,"covid",10698
"72",2021,2,4,"mippcivzla",8644
"73",2021,2,4,"nicolasmaduro",7758
"74",2021,2,4,"aquilescordova",4720
"75",2021,2,4,"lopezobrador",2575
"76",2021,2,5,"lopezobrador",14308
"77",2021,2,5,"covid",14110
"78",2021,2,5,"amlo",10158
"79",2021,2,5,"nicolasmaduro",6214
"80",2021,2,5,"mippcivzla",5857
"81",2021,2,9,"covid",13889
"82",2021,2,9,"nicolasmaduro",10985
"83",2021,2,9,"lopezobrador",9736
"84",2021,2,9,"amlo",7140
"85",2021,2,9,"mippcivzla",5063
"86",2021,2,21,"covid",12332
"87",2021,2,21,"ronaldinho",7084
"88",2021,2,21,"mippcivzla",5469
"89",2021,2,21,"gatell",5395
"90",2021,2,21,"nicolasmaduro",3962
"91",2021,3,3,"vickydobra",18741
"92",2021,3,3,"covid",16812
"93",2021,3,3,"nicolasmaduro",7062
"94",2021,3,3,"luuciiagenizz",5196
"95",2021,3,3,"cristina",3602
"96",2021,3,4,"nicolasmaduro",30418
"97",2021,3,4,"covid",10394
"98",2021,3,4,"presidente",7750
"99",2021,3,4,"mippcivzla",6809
"100",2021,3,4,"gabrielasjr",4985
"101",2021,3,5,"covid",8772
"102",2021,3,5,"coronavirus",8671
"103",2021,3,5,"plata",8586
"104",2021,3,5,"larrosaanapaula",8585
"105",2021,3,5,"nicolasmaduro",7434
"106",2021,3,7,"nicolasmaduro",15511
"107",2021,3,7,"maduro",10033
"108",2021,3,7,"covid",9027
"109",2021,3,7,"mippcivzla",5751
"110",2021,3,7,"presidente",4676
"111",2021,3,10,"covid",7541
"112",2021,3,10,"grierboludo",3988
"113",2021,3,10,"avrilhermoza1",3406
"114",2021,3,10,"nicolasmaduro",2968
"115",2021,3,10,"facundo moyano",2829
"116",2021,3,17,"mippcivzla",13061
"117",2021,3,17,"nicolasmaduro",11023
"118",2021,3,17,"gabrielasjr",8821
"119",2021,3,17,"covid",7611
"120",2021,3,17,"mincyt",7465
"121",2021,3,19,"difrancescasof1",13933
"122",2021,3,19,"mippcivzla",11755
"123",2021,3,19,"carlosloret",10365
"124",2021,3,19,"covid",9275
"125",2021,3,19,"nicolasmaduro",6619
"126",2021,3,20,"mippcivzla",14037
"127",2021,3,20,"covid",10777
"128",2021,3,20,"nicolasmaduro",8479
"129",2021,3,20,"idiazayuso",3576
"130",2021,3,20,"vilma",3548
"131",2021,3,28,"nicolasmaduro",32766
"132",2021,3,28,"dave capella",20632
"133",2021,3,28,"mippcivzla",15305
"134",2021,3,28,"covid",15014
"135",2021,3,28,"alfredodelmazo",14642
"136",2021,4,1,"mippcivzla",18365
"137",2021,4,1,"nicolasmaduro",14266
"138",2021,4,1,"covid",14030
"139",2021,4,1,"nadie",5180
"140",2021,4,1,"felipiiin",5171
"141",2021,4,4,"nicolasmaduro",40906
"142",2021,4,4,"mippcivzla",22025
"143",2021,4,4,"covid",15257
"144",2021,4,4,"presidente",11456
"145",2021,4,4,"lopezdoriga",7998
"146",2021,4,8,"nicolasmaduro",19987
"147",2021,4,8,"covid",17863
"148",2021,4,8,"mippcivzla",17076
"149",2021,4,8,"belstockl",12881
"150",2021,4,8,"madorni",5672
"151",2021,4,9,"mippcivzla",21106
"152",2021,4,9,"covid",19428
"153",2021,4,9,"nicolasmaduro",14393
"154",2021,4,9,"ricardovvcc",11931
"155",2021,4,9,"rodriguez",7959
"156",2021,4,10,"covid",22693
"157",2021,4,10,"mippcivzla",20008
"158",2021,4,10,"nicolasmaduro",15371
"159",2021,4,10,"luis",8059
"160",2021,4,10,"gabi_rico",8043
"161",2021,4,12,"mauro viale",14736
"162",2021,4,12,"nicolasmaduro",10950
"163",2021,4,12,"covid",10913
"164",2021,4,12,"benedetti",7146
"165",2021,4,12,"mippcivzla",3636
"166",2021,4,15,"covid",14592
"167",2021,4,15,"moonzort",5628
"168",2021,4,15,"alferdez",5486
"169",2021,4,15,"mippcivzla",5399
"170",2021,4,15,"alberto fernández",4595
"171",2021,4,16,"covid",15754
"172",2021,4,16,"emaarguello16",15113
"173",2021,4,16,"mippcivzla",11506
"174",2021,4,16,"nicolasmaduro",10158
"175",2021,4,16,"jimemons",4609
"176",2021,4,17,"covid",25159
"177",2021,4,17,"mippcivzla",12485
"178",2021,4,17,"nicolasmaduro",12256
"179",2021,4,17,"ambarservin98",9979
"180",2021,4,17,"jlizquierdoa",7479
"181",2021,4,18,"covid",34165
"182",2021,4,18,"nicolasmaduro",22630
"183",2021,4,18,"mippcivzla",14485
"184",2021,4,18,"ambarservin98",12778
"185",2021,4,18,"alicia53532006",5364
"186",2021,4,19,"nicolasmaduro",30071
"187",2021,4,19,"covid",13512
"188",2021,4,19,"mippcivzla",10632
"189",2021,4,19,"hernanscastillo",6415
"190",2021,4,19,"jorgemo1999",4902
"191",2021,4,21,"nicolasmaduro",14654
"192",2021,4,21,"mippcivzla",14186
"193",2021,4,21,"covid",13976
"194",2021,4,21,"drodriguezven",8506
"195",2021,4,21,"chayanne",8190
"196",2021,4,25,"nicolasmaduro",22427
"197",2021,4,25,"alicia53532006",10060
"198",2021,4,25,"covid",9336
"199",2021,4,25,"mippcivzla",8826
"200",2021,4,25,"delcyrodriguezv",4417
"201",2021,4,27,"mippcivzla",13196
"202",2021,4,27,"covid",11190
"203",2021,4,27,"nicolasmaduro",8635
"204",2021,4,27,"alicia53532006",3500
"205",2021,4,27,"patobullrich",2784
"206",2021,4,29,"covid",8858
"207",2021,4,29,"mippcivzla",8656
"208",2021,4,29,"pablom",5893
"209",2021,4,29,"iv",4826
"210",2021,4,29,"nicolasmaduro",3706
"211",2021,5,3,"nicolasmaduro",18213
"212",2021,5,3,"mippcivzla",12214
"213",2021,5,3,"covid",11388
"214",2021,5,3,"brancatelli",3561
"215",2021,5,3,"lopezobrador",2801
"216",2021,5,4,"mippcivzla",14313
"217",2021,5,4,"covid",13973
"218",2021,5,4,"nicolasmaduro",8448
"219",2021,5,4,"eduardopiate2",5503
"220",2021,5,4,"rodriguez",5496
"221",2021,5,6,"covid",8472
"222",2021,5,6,"biden",3463
"223",2021,5,6,"mippcivzla",2523
"224",2021,5,6,"lillytellez",2209
"225",2021,5,6,"yolanda_diaz",2069
"226",2021,5,8,"covid",9312
"227",2021,5,8,"agusgnz",4691
"228",2021,5,8,"maruu88570551",3687
"229",2021,5,8,"mippcivzla",3210
"230",2021,5,8,"nicolasmaduro",2058
"231",2021,5,10,"carles francino",10877
"232",2021,5,10,"francino",10305
"233",2021,5,10,"c",9337
"234",2021,5,10,"jessicamedinab",9219
"235",2021,5,10,"laventana",9112
"236",2021,5,12,"covid",7208
"237",2021,5,12,"basiluisco",3967
"238",2021,5,12,"nicolasmaduro",3279
"239",2021,5,12,"yesseniarocha",2719
"240",2021,5,12,"alferdez",2295
"241",2021,5,13,"covid",8665
"242",2021,5,13,"totyflores",2337
"243",2021,5,13,"sánchez",2319
"244",2021,5,13,"pablo iglesias",2193
"245",2021,5,13,"basiluisco",1723
"246",2021,5,16,"covid",24677
"247",2021,5,16,"fabipa90",6176
"248",2021,5,16,"gallardo",5495
"249",2021,5,16,"kenji",5258
"250",2021,5,16,"gonzza14",3937
"251",2021,5,19,"covid",11128
"252",2021,5,19,"drckambourian",4044
"253",2021,5,19,"bettynagruber",2419
"254",2021,5,19,"tinelli",2258
"255",2021,5,19,"drpacomoreno1",2254
"256",2021,5,29,"covid",8805
"257",2021,5,29,"claudiashein",3418
"258",2021,5,29,"sofisalernoo",2663
"259",2021,5,29,"claudia_sovero",2025
"260",2021,5,29,"victordayan1",1794
"261",2021,5,30,"covid",9896
"262",2021,5,30,"claudiashein",5275
"263",2021,5,30,"nicolasmaduro",4392
"264",2021,5,30,"lopezobrador",3228
"265",2021,5,30,"sofisalernoo",2489
"266",2021,5,31,"nicolasmaduro",10865
"267",2021,5,31,"covid",9589
"268",2021,5,31,"trump",5720
"269",2021,5,31,"jesús corona",5671
"270",2021,5,31,"delcyrodriguezv",3538
"271",2021,6,13,"robertogarrdner",13787
"272",2021,6,13,"covid",9454
"273",2021,6,13,"dirkjanjanssen",3423
"274",2021,6,13,"andreaobaid",2343
"275",2021,6,13,"yoongi",2145
"276",2021,6,15,"covid",12040
"277",2021,6,15,"lopezobrador",4985
"278",2021,6,15,"camirojas1997",4366
"279",2021,6,15,"mamá",4341
"280",2021,6,15,"amlo",2640
"281",2021,6,24,"santiagonadal",8912
"282",2021,6,24,"covid",6751
"283",2021,6,24,"petrogustavo",5726
"284",2021,6,24,"fonsiloaiza",2839
"285",2021,6,24,"beltrandelrio",2399
"286",2021,6,28,"covid",11459
"287",2021,6,28,"ainhoafariclee",6117
"288",2021,6,28,"iramalonne",5194
"289",2021,6,28,"dracortezm",3995
"290",2021,6,28,"rominasandeer",3609
"291",2021,6,30,"covid",10402
"292",2021,6,30,"camiladorado13",5556
"293",2021,6,30,"duque",1603
"294",2021,6,30,"marfornerruiz",1311
"295",2021,6,30,"osvaldobazan",1280
"296",2021,7,1,"covid",9626
"297",2021,7,1,"camiladorado13",7605
"298",2021,7,1,"carmechaparro",2796
"299",2021,7,1,"bolsonaro",2026
"300",2021,7,1,"lopezobrador",1761
"301",2021,7,2,"covid",7819
"302",2021,7,2,"alberto3strella",6032
"303",2021,7,2,"randolfo blanco",4045
"304",2021,7,2,"diazcanelb",3093
"305",2021,7,2,"lopezobrador",2916
"306",2021,7,3,"covid",6011
"307",2021,7,3,"diazcanelb",2040
"308",2021,7,3,"alberto3strella",1598
"309",2021,7,3,"jabell60",1516
"310",2021,7,3,"ivanduque",1332
"311",2021,7,4,"covid",4991
"312",2021,7,4,"nicolasmaduro",3330
"313",2021,7,4,"corina",2013
"314",2021,7,4,"mamalisvzla",1477
"315",2021,7,4,"donald trump",1416
"316",2021,7,5,"covid",7234
"317",2021,7,5,"nicolasmaduro",6918
"318",2021,7,5,"jorge ramos",5356
"319",2021,7,5,"josé manuel zamacona",3972
"320",2021,7,5,"amlo",3461
"321",2021,7,6,"covid",9604
"322",2021,7,6,"jorgeramosnews",5430
"323",2021,7,6,"lópez obrador",3956
"324",2021,7,6,"yoongi",3880
"325",2021,7,6,"dracortezm",2738
"326",2021,7,7,"covid",8904
"327",2021,7,7,"mpalaciot",7631
"328",2021,7,7,"diazcanelb",1756
"329",2021,7,7,"gil",1725
"330",2021,7,7,"hectorrossete",1509
"331",2021,7,8,"covid",8065
"332",2021,7,8,"mario_",3373
"333",2021,7,8,"hectorrossete",3328
"334",2021,7,8,"diazcanelb",2578
"335",2021,7,8,"carlavizzotti",1909
"336",2021,7,9,"orianaggi",10102
"337",2021,7,9,"isaac",10038
"338",2021,7,9,"covid",5719
"339",2021,7,9,"randolfo blanco",3123
"340",2021,7,9,"diazcanelb",2949
"341",2021,7,10,"covid",4443
"342",2021,7,10,"orianaggi",3284
"343",2021,7,10,"isaac",3282
"344",2021,7,10,"diazcanelb",2518
"345",2021,7,10,"yusnaby",1771
"346",2021,7,13,"julianmaciast",7774
"347",2021,7,13,"covid",6032
"348",2021,7,13,"patarroyo",2945
"349",2021,7,13,"lopezobrador",2154
"350",2021,7,13,"wolffwaldo",1976
"351",2021,7,14,"covid",8436
"352",2021,7,14,"julianmaciast",2833
"353",2021,7,14,"albornoz",2585
"354",2021,7,14,"lópez aliaga",2103
"355",2021,7,14,"drpacomoreno1",1778
"356",2021,7,19,"covid",7168
"357",2021,7,19,"drpacomoreno1",2354
"358",2021,7,19,"luisgasulla",1976
"359",2021,7,19,"casado",1863
"360",2021,7,19,"macron",1606
"361",2021,7,21,"monicazarate",10228
"362",2021,7,21,"covid",7570
"363",2021,7,21,"javier",2247
"364",2021,7,21,"torrox",2158
"365",2021,7,21,"virgen",2125
"366",2021,7,22,"covid",11092
"367",2021,7,22,"paolatber",3590
"368",2021,7,22,"lopezobrador",2103
"369",2021,7,22,"wperdomod",2012
"370",2021,7,22,"santi",1865
"371",2021,7,23,"covid",12924
"372",2021,7,23,"drpacomoreno1",5461
"373",2021,7,23,"dalaylpez2",4093
"374",2021,7,23,"vizzotti",2804
"375",2021,7,23,"vizz",2624
"376",2021,7,24,"covid",7836
"377",2021,7,24,"dalaylpez2",4952
"378",2021,7,24,"manugarciaorteg",3175
"379",2021,7,24,"janogarcia",2436
"380",2021,7,24,"hdemauleon",1999
"381",2021,7,25,"covid",8356
"382",2021,7,25,"gabrielail",7539
"383",2021,7,25,"nicolasmaduro",3191
"384",2021,7,25,"jon rahm",2344
"385",2021,7,25,"drpacomoreno1",2231
"386",2021,7,26,"covid",13206
"387",2021,7,26,"pauliicasco",8155
"388",2021,7,26,"fidel",6379
"389",2021,7,26,"maduro",5661
"390",2021,7,26,"nicolasmaduro",5371
"391",2021,7,28,"covid",7367
"392",2021,7,28,"drchavezdiaz",4050
"393",2021,7,28,"lopezobrador",3451
"394",2021,7,28,"presidente",3036
"395",2021,7,28,"amlo",2843
"396",2021,7,29,"covid",9627
"397",2021,7,29,"drpacomoreno1",3170
"398",2021,7,29,"estebanbullrich",2839
"399",2021,7,29,"alberto",2533
"400",2021,7,29,"santi",2335
"401",2021,7,31,"petrogustavo",10737
"402",2021,7,31,"covid",5869
"403",2021,7,31,"petro",3839
"404",2021,7,31,"elcollazo",3617
"405",2021,7,31,"gustavo petro",2742
"406",2021,8,1,"covid",9900
"407",2021,8,1,"petrogustavo",4961
"408",2021,8,1,"gino renni",3318
"409",2021,8,1,"drpacomoreno1",2752
"410",2021,8,1,"petro",2547
"411",2021,8,2,"nicolasmaduro",6536
"412",2021,8,2,"covid",5714
"413",2021,8,2,"drpacomoreno1",5185
"414",2021,8,2,"ayuso",3128
"415",2021,8,2,"juanma moreno",2816
"416",2021,8,4,"covid",9301
"417",2021,8,4,"tió gustavo",3979
"418",2021,8,4,"viezca",3973
"419",2021,8,4,"doctormacias",3906
"420",2021,8,4,"morocha",2598
"421",2021,8,5,"covid",7825
"422",2021,8,5,"drmiguelmarcos",2753
"423",2021,8,5,"lopezobrador",2288
"424",2021,8,5,"florencia peña",1963
"425",2021,8,5,"cirogomezl",1832
"426",2021,8,7,"covid",5839
"427",2021,8,7,"gtorreamione",4588
"428",2021,8,7,"freddyguevarac",2685
"429",2021,8,7,"lopezdoriga",2274
"430",2021,8,7,"claudiashein",2038
"431",2021,8,8,"covid",10192
"432",2021,8,8,"vicente fox",8279
"433",2021,8,8,"luis enrique soriano",5931
"434",2021,8,8,"martha sahagún",3034
"435",2021,8,8,"vicentefoxque",2504
"436",2021,8,9,"covid",8880
"437",2021,8,9,"drchavezdiaz",2286
"438",2021,8,9,"migueldiazok1",2249
"439",2021,8,9,"bruno díaz",2170
"440",2021,8,9,"lopezobrador",2089
"441",2021,8,10,"santivallejos3",14403
"442",2021,8,10,"covid",6320
"443",2021,8,10,"pedrosola",3958
"444",2021,8,10,"drchavezdiaz",3732
"445",2021,8,10,"paty navidad",3677
"446",2021,8,11,"messi",8728
"447",2021,8,11,"paty navidad",8561
"448",2021,8,11,"covid",6132
"449",2021,8,11,"drchavezdiaz",2945
"450",2021,8,11,"santivallejos3",2729
"451",2021,8,12,"covid",11052
"452",2021,8,12,"martinezimontse",3738
"453",2021,8,12,"paty navidad",3024
"454",2021,8,12,"gtorreamione",2845
"455",2021,8,12,"cirogomezl",2637
"456",2021,8,13,"fidel",22364
"457",2021,8,13,"covid",12966
"458",2021,8,13,"comandante en jefe",5610
"459",2021,8,13,"chávez",4701
"460",2021,8,13,"fidelporsiempre",4453
"461",2021,8,14,"covid",11508
"462",2021,8,14,"drpacomoreno1",6624
"463",2021,8,14,"lopezobrador",4697
"464",2021,8,14,"yayamarchena",4346
"465",2021,8,14,"adalozzo",4159
"466",2021,8,16,"covid",6103
"467",2021,8,16,"nicolasmaduro",4397
"468",2021,8,16,"joe biden",3210
"469",2021,8,16,"trump",2408
"470",2021,8,16,"lópez",2306
"471",2021,8,17,"covid",6277
"472",2021,8,17,"lopezobrador",2453
"473",2021,8,17,"wolffwaldo",2241
"474",2021,8,17,"laaraggonzalez",1787
"475",2021,8,17,"doctormacias",1659
"476",2021,8,19,"covid",8871
"477",2021,8,19,"micarmenlaprofe",2679
"478",2021,8,19,"loquedicesen",2545
"479",2021,8,19,"maxkaiser75",2185
"480",2021,8,19,"lopezdoriga",1933
"481",2021,8,20,"covid",6575
"482",2021,8,20,"flmirones",2850
"483",2021,8,20,"cirogomezl",2500
"484",2021,8,20,"chumeltorres",1827
"485",2021,8,20,"hatsuminonaka",1656
"486",2021,8,22,"covid",6829
"487",2021,8,22,"maylenchan",5926
"488",2021,8,22,"frayjosepho",2337
"489",2021,8,22,"hayberf",1896
"490",2021,8,22,"fedemartinon",1760
"491",2021,8,23,"covid",4442
"492",2021,8,23,"cecilia todesca",2990
"493",2021,8,23,"camilakofler",2704
"494",2021,8,23,"maylenchan",1930
"495",2021,8,23,"frayjosepho",1734
"496",2021,8,25,"covid",5454
"497",2021,8,25,"fabipa90",4807
"498",2021,8,25,"cirogomezl",1321
"499",2021,8,25,"mippcivzla",1305
"500",2021,8,25,"yexcel04",1302
"501",2021,8,30,"covid",4010
"502",2021,8,30,"nicolasmaduro",3517
"503",2021,8,30,"camibver",3258
"504",2021,8,30,"caleb wallace",2739
"505",2021,8,30,"idanivazquez",2624
"506",2021,9,2,"covid",9796
"507",2021,9,2,"juanchorubio",6514
"508",2021,9,2,"felipecalderon",3658
"509",2021,9,2,"lopezobrador",2989
"510",2021,9,2,"heeseung",2255
"511",2021,9,5,"covid",8927
"512",2021,9,5,"bolsonaro",4878
"513",2021,9,5,"albbelieb",3587
"514",2021,9,5,"enriquealfaror",2728
"515",2021,9,5,"drpacomoreno1",1765
"516",2021,9,7,"roland carreño",7542
"517",2021,9,7,"covid",5881
"518",2021,9,7,"gatell",4870
"519",2021,9,7,"rolandcarreno",4372
"520",2021,9,7,"glodejo07",3205
"521",2021,9,10,"covid",5342
"522",2021,9,10,"frayjosepho",2212
"523",2021,9,10,"pedrobustcruces",1803
"524",2021,9,10,"biden",1672
"525",2021,9,10,"carlosloret",1533
"526",2021,9,11,"covid",4793
"527",2021,9,11,"mariabravogome1",2131
"528",2021,9,11,"larreta",1881
"529",2021,9,11,"petro",1618
"530",2021,9,11,"mandreanieto",1565
"531",2021,9,14,"covid",6656
"532",2021,9,14,"rosadiezglez",2363
"533",2021,9,14,"roland carreño",1935
"534",2021,9,14,"rolandcarreno",1557
"535",2021,9,14,"diazcanelb",1488
"536",2021,9,15,"covid",5025
"537",2021,9,15,"conotollanero",1931
"538",2021,9,15,"hectorrossete",1157
"539",2021,9,15,"rioscorona222",1097
"540",2021,9,15,"dr fauci",975
"541",2021,9,16,"covid",5387
"542",2021,9,16,"fernando simón",5111
"543",2021,9,16,"diazcanelb",2114
"544",2021,9,16,"davidforeromd",1787
"545",2021,9,16,"artur_espinosa",1766
"546",2021,9,20,"bitiritriz",527
"547",2021,9,20,"nestorzabaleta",489
"548",2021,9,20,"covid",422
"549",2021,9,20,"drpacomoreno1",313
"550",2021,9,20,"miguelito",244
"551",2021,9,25,"covid",5096
"552",2021,9,25,"cornuldo",4815
"553",2021,9,25,"fabiola",2464
"554",2021,9,25,"adriana88420133",1198
"555",2021,9,25,"alberto",925
"556",2021,9,26,"corona",11107
"557",2021,9,26,"covid",4055
"558",2021,9,26,"nicolasmaduro",2218
"559",2021,9,26,"drpacomoreno1",1963
"560",2021,9,26,"raylilujan",1380
"561",2021,9,29,"covid",4315
"562",2021,9,29,"adolfog46934319",2919
"563",2021,9,29,"trujiyo",2399
"564",2021,9,29,"amlo",1830
"565",2021,9,29,"fernandanbs",1158
"566",2021,10,1,"covid",2327
"567",2021,10,1,"vargas llosa",1404
"568",2021,10,1,"yolanda díaz",1179
"569",2021,10,1,"aznar",938
"570",2021,10,1,"delcyrodriguezv",703
"571",2021,10,2,"covid",2497
"572",2021,10,2,"daninovarama",2227
"573",2021,10,2,"lopezobrador",1600
"574",2021,10,2,"viviana canosa",1225
"575",2021,10,2,"vargas llosa",1224
"576",2021,10,3,"covid",2190
"577",2021,10,3,"nicolasmaduro",1498
"578",2021,10,3,"daninovarama",1306
"579",2021,10,3,"juan josé tovar",1121
"580",2021,10,3,"nelsonbocaranda",1073
"581",2021,10,4,"nicolasmaduro",4865
"582",2021,10,4,"covid",2710
"583",2021,10,4,"flmirones",1788
"584",2021,10,4,"deivis oran",1290
"585",2021,10,4,"nenalarocca",816
"586",2021,10,6,"lisa",4959
"587",2021,10,6,"liryonni",3426
"588",2021,10,6,"covid",2683
"589",2021,10,6,"escesarvidal",1490
"590",2021,10,6,"rcachanosky",875
"591",2021,10,8,"covid",2217
"592",2021,10,8,"agustinasucri",759
"593",2021,10,8,"marcela witt",756
"594",2021,10,8,"mariolysosap",552
"595",2021,10,8,"idiazayuso",515
"596",2021,10,12,"covid",4571
"597",2021,10,12,"jimin",3937
"598",2021,10,12,"raúl isaías baduel",2906
"599",2021,10,12,"alexagomezdos",2557
"600",2021,10,12,"lopezobrador",2547
"601",2021,10,13,"baduel",16015
"602",2021,10,13,"mickey",7526
"603",2021,10,13,"raúl isaías baduel",7448
"604",2021,10,13,"covid",7027
"605",2021,10,13,"raúl baduel",5393
"606",2021,10,16,"covid",2321
"607",2021,10,16,"marijojoto",1836
"608",2021,10,16,"chef paik jongwon",1512
"609",2021,10,16,"drpacomoreno1",1090
"610",2021,10,16,"fabriziomejia",1048
"611",2021,10,17,"covid",5601
"612",2021,10,17,"nicolasmaduro",2078
"613",2021,10,17,"presidente",1826
"614",2021,10,17,"juancampanella",1402
"615",2021,10,17,"drpacomoreno1",1320
"616",2021,10,20,"covid",3451
"617",2021,10,20,"bolsonaro",2701
"618",2021,10,20,"peperinabel",1059
"619",2021,10,20,"juanjromero",989
"620",2021,10,20,"delcyrodriguezv",974
"621",2021,10,23,"covid",2747
"622",2021,10,23,"drpacomoreno1",1620
"623",2021,10,23,"florenciarietto",1582
"624",2021,10,23,"elcosodelapizza",1406
"625",2021,10,23,"carliferro",1279
"626",2021,10,24,"covid",3004
"627",2021,10,24,"nicolasmaduro",2937
"628",2021,10,24,"bolsonaro",2668
"629",2021,10,24,"delcyrodriguezv",851
"630",2021,10,24,"drpacomoreno1",744
"631",2021,10,25,"nicolasmaduro",4536
"632",2021,10,25,"felipecalderon",2884
"633",2021,10,25,"covid",2876
"634",2021,10,25,"bolsonaro",2077
"635",2021,10,25,"elcosodelapizza",1772
"636",2021,10,27,"bolsonaro",5494
"637",2021,10,27,"covid",5462
"638",2021,10,27,"secretario de salud",3643
"639",2021,10,27,"drpacomoreno1",1799
"640",2021,10,27,"alcocer",1704
"641",2021,10,29,"covid",3615
"642",2021,10,29,"ayuso",2855
"643",2021,10,29,"claudiashein",2829
"644",2021,10,29,"diazcanelb",2067
"645",2021,10,29,"valtonyc",1966
"646",2021,10,30,"covid",3131
"647",2021,10,30,"felipecalderon",1895
"648",2021,10,30,"mendex",1661
"649",2021,10,30,"juanma moreno",1657
"650",2021,10,30,"lopezobrador",1589
"651",2021,11,2,"bolsonaro",5394
"652",2021,11,2,"tedros adhanom",5071
"653",2021,11,2,"covid",3486
"654",2021,11,2,"mlauraassis",3386
"655",2021,11,2,"mariolysosap",1230
"656",2021,11,13,"covid",2938
"657",2021,11,13,"corona",2711
"658",2021,11,13,"diazcanelb",2078
"659",2021,11,13,"janogarcia",1577
"660",2021,11,13,"hectorrossete",1070
"661",2021,11,14,"covid",3141
"662",2021,11,14,"hectorrossete",1717
"663",2021,11,14,"daniel quintero",1714
"664",2021,11,14,"delaespriellae",1698
"665",2021,11,14,"nicolasmaduro",1402
"666",2021,11,17,"covid",2609
"667",2021,11,17,"corona",1708
